Player,Position,Cost,Points,Calc Points,App,Sub,Gls,Ass,MotM,%,Yel,Red,Pass 1,Pass 2,Tack 1,Tack 2,Shot 1,Shot 2,Save 1,Save 2,Cl Sh,Gl Con
"DIAME, M",MID,7.9,92.0,92.0,23,8,2,0,1,1.24,3,0,0,0,6,4,0,0,0,0,0,27
"IWOBI, A",MID,7.9,91.0,91.0,22,4,3,5,0,1.66,1,0,0,1,1,0,3,0,0,0,0,24
"PROPPER, D",MID,8.0,91.0,91.0,35,0,0,4,0,0.4,2,1,0,0,7,0,0,0,0,0,0,49
"WIJNALDUM, G",MID,9.0,90.0,90.0,27,6,1,2,1,0.61,1,0,2,2,2,0,0,0,0,0,0,21
"VAN LA PARRA, R",MID,8.2,90.0,90.0,26,7,3,0,2,0.22,3,1,0,0,2,1,1,0,0,0,0,34
"GUNDOGAN, I",MID,9.0,90.0,90.0,15,15,4,2,0,0.66,3,0,2,4,0,0,1,0,0,0,0,14
"GRAY, D",MID,8.1,89.0,89.0,17,18,3,3,2,3.11,2,0,0,0,1,0,0,0,0,0,0,32
"SHELVEY, J",MID,9.0,89.0,89.0,25,5,1,3,4,3.6,2,2,1,1,1,0,0,0,0,0,0,27
"SIGURDSSON, G",MID,9.1,88.0,88.0,25,2,4,3,0,3.38,2,0,0,0,1,1,0,0,0,0,0,35
"YOSHIDA, M",DEF,7.7,88.0,95.25,23,1,2,1,1,0.8,2,1,2,1,1,0,0,0,0,0,6,31
"NIASSE, O",STR,8.6,87.0,87.0,10,12,8,3,1,1.29,2,0,0,0,0,0,0,1,0,0,0,0
"WARD-PROWSE, J",MID,8.3,87.0,87.0,20,10,3,4,2,0.96,3,0,0,0,0,0,0,0,0,0,0,27
"DEPOITRE, L",STR,8.8,86.0,86.0,18,15,6,2,0,0.4,1,0,0,0,0,0,0,0,0,0,0,0
"AURIER, S",DEF,8.2,86.0,85.0,16,1,2,2,0,0.71,1,1,0,0,3,1,0,0,0,0,6,12
BRUNO,DEF,7.3,84.0,88.25,23,2,0,0,0,1.01,3,0,1,0,1,0,0,0,0,0,9,23
"HOGG, J",MID,7.9,84.0,84.0,29,1,0,0,0,0.23,8,1,2,2,10,2,0,0,0,0,0,39
"FORSTER, F",GK,6.3,82.0,83.5,20,0,0,0,1,1.13,0,0,0,0,0,0,0,0,6,2,4,30
"FRANCIS, S",DEF,7.4,82.0,91.5,31,1,0,1,2,0.84,8,1,2,2,4,0,0,0,0,0,4,46
"SURMAN, A",MID,7.8,82.0,82.0,20,5,2,5,0,0.58,2,0,3,2,0,0,0,0,0,0,0,27
"DEENEY, T",STR,8.8,82.0,88.0,20,9,5,2,2,1.76,1,1,0,0,0,0,1,0,0,0,0,0
"LEMINA, M",MID,8.0,81.0,81.0,20,5,1,1,1,0.91,2,0,4,0,8,0,0,0,0,0,0,30
"BAINES, L",DEF,7.9,81.0,89.5,22,0,2,3,1,2.77,1,0,0,0,1,0,0,0,0,0,5,34
"BENTEKE, C",STR,10.0,81.0,84.0,24,7,3,6,0,0.74,6,0,0,0,1,0,0,0,0,0,0,0
"MIGNOLET, S",GK,6.7,81.0,82.0,19,0,0,0,0,0.16,3,0,0,0,0,0,0,0,2,0,7,24
"STANISLAS, J",MID,8.1,81.0,81.0,17,2,5,3,1,0.49,1,0,0,0,1,0,0,0,0,0,0,20
"HOEDT, W",DEF,7.4,81.0,89.5,28,0,0,1,1,0.6,7,0,0,1,6,1,0,0,0,0,5,42
"COOK, S",DEF,7.5,80.0,93.0,31,3,2,1,0,0.67,5,0,1,0,1,0,0,0,0,0,5,52
"WELBECK, D",STR,10.1,80.0,80.0,12,16,5,2,2,0.38,1,0,0,0,0,0,0,0,0,0,0,0
"HENDRICK, J",MID,7.9,80.0,80.0,29,5,2,2,0,0.55,1,0,0,0,0,0,0,0,0,0,0,24
"KABASELE, C",DEF,7.5,80.0,94.25,27,1,2,0,0,0.39,5,0,0,1,4,0,0,0,0,0,6,43
"AUSTIN, C",STR,9.4,80.0,80.0,10,14,7,1,1,1.08,2,0,0,0,0,0,1,1,0,0,0,0
"GRAY, A",STR,8.2,79.0,79.0,16,15,5,2,0,1.75,1,0,0,0,0,0,1,0,0,0,0,0
PEDRO,MID,9.0,79.0,79.0,17,14,4,2,0,0.79,1,0,0,0,0,0,1,0,0,0,0,13
"GIROUD, O",STR,11.3,79.0,79.0,7,22,7,1,1,0.93,0,0,0,0,0,0,0,0,0,0,0,0
"KEANE, M",DEF,7.6,79.0,91.5,29,1,0,1,1,7.16,3,0,0,0,2,0,0,0,0,0,7,46
"SAKHO, M",DEF,8.1,78.0,83.25,18,1,1,2,2,0.86,1,0,0,0,0,0,0,0,0,0,6,23
"BAKAYOKO, T",MID,8.0,78.0,78.0,24,5,2,2,0,0.75,3,1,0,0,5,1,0,0,0,0,0,18
"EVANS, J",DEF,7.3,78.0,88.25,26,2,2,2,0,3.82,7,0,0,0,3,0,0,0,0,0,5,39
"OGBONNA, A",DEF,7.2,77.0,97.0,32,0,1,0,1,1.13,3,0,1,0,1,0,0,0,0,0,7,60
ADRIAN,GK,6.3,77.0,85.75,19,0,0,0,0,0.53,2,0,0,0,0,0,0,0,3,3,6,29
"WALCOTT, T",MID,8.9,76.0,76.0,13,7,3,3,2,3.65,2,0,0,0,3,0,1,0,0,0,0,17
"SUNG-YEUNG, K",MID,7.4,76.0,76.0,21,4,2,2,2,1.47,2,0,0,0,2,0,0,0,0,0,0,29
"LOFTUS-CHEEK, R",MID,8.8,76.0,76.0,21,3,2,5,1,1.92,1,0,0,0,0,0,0,0,0,0,0,28
"MASUAKU, A",DEF,7.1,75.0,81.75,21,6,0,3,0,1.7,5,0,0,0,2,1,0,0,0,0,6,29
"CLEVERLEY, T",MID,7.8,75.0,78.0,22,1,1,2,2,0.5,1,1,0,3,3,0,0,0,0,0,0,25
"ANTONIO, M",MID,7.9,74.0,74.0,16,5,3,2,2,2.61,1,0,0,0,0,0,2,0,0,0,0,22
"DAVIS, S",MID,7.8,74.0,74.0,17,6,3,1,0,0.42,0,0,3,1,2,0,0,0,0,0,0,22
"MARCH, S",MID,7.7,73.0,73.0,18,18,1,3,0,0.25,3,0,0,0,2,1,0,0,0,0,0,28
"LEJEUNE, F",DEF,7.0,73.0,79.0,24,0,0,2,0,1.62,3,0,3,1,1,0,0,0,0,0,5,32
"REDMOND, N",MID,7.3,72.0,72.0,22,9,1,3,1,4.93,3,0,0,0,1,0,0,0,0,0,0,29
"DAVIES, T",MID,7.6,72.0,72.0,20,13,2,2,0,1.3,7,0,0,0,4,0,0,0,0,0,0,22
"HART, J",GK,6.4,71.0,80.25,19,0,0,1,2,0.14,0,0,0,0,0,0,0,0,4,1,4,39
"DEMBELE, M",MID,8.9,71.0,71.0,21,7,0,0,0,1.21,6,0,4,4,4,0,0,0,0,0,0,22
JOSELU,STR,8.5,71.0,74.0,19,11,4,1,0,0.4,2,0,0,0,0,0,2,0,0,0,0,0
"HOLEBAS, J",DEF,7.2,70.0,84.25,26,2,0,4,0,0.64,7,0,0,0,2,1,0,0,0,0,6,47
"ATSU, C",MID,7.7,69.0,69.0,19,9,2,2,1,0.34,1,0,0,0,0,0,0,0,0,0,0,20
"JANMAAT, D",DEF,7.1,69.0,77.75,21,2,3,1,0,1.1,3,0,0,0,6,0,0,0,0,0,2,37
"LOWE, C",DEF,7.1,69.0,75.5,19,4,0,0,0,0.23,1,0,0,0,4,1,0,0,0,0,6,26
"HUGHES, W",MID,7.5,68.0,68.0,11,4,2,3,3,0.92,0,0,0,0,3,0,0,0,0,0,0,16
"BONG, G",DEF,7.2,67.0,77.0,25,0,0,0,0,0.29,2,0,0,0,1,2,0,0,0,0,6,36
"MORENO, A",DEF,7.9,67.0,73.25,14,2,0,0,0,0.5,1,0,2,1,3,2,0,0,0,0,6,19
"GABBIADINI, M",STR,9.5,67.0,67.0,11,17,5,0,1,0.32,2,0,0,0,0,0,0,0,0,0,0,0
"ZAPPACOSTA, D",DEF,7.8,67.0,69.25,12,10,1,1,0,0.7,0,0,0,0,1,0,1,0,0,0,5,15
"LENNON, A",MID,7.4,67.0,67.0,22,7,0,4,0,1.36,2,0,0,0,3,0,0,0,0,0,0,30
"GOMES, H",GK,6.3,67.0,79.0,24,0,0,0,0,0.29,0,0,0,0,0,0,0,0,3,0,5,40
"CHILWELL, B",DEF,7.6,67.0,74.5,20,4,0,2,0,0.49,1,1,0,0,3,0,0,0,0,0,6,30
"FEMENIA, K",DEF,7.4,67.0,77.5,19,4,1,1,1,0.24,2,0,0,0,3,0,0,0,0,0,5,34
"ALDERWEIRELD, T",DEF,9.8,66.0,67.75,13,1,0,0,0,0.8,3,0,4,4,1,0,0,0,0,0,5,13
"OBIANG, P",MID,7.6,66.0,66.0,18,3,2,0,1,0.31,3,0,0,1,2,2,0,0,0,0,0,26
"VOKES, S",STR,8.1,65.0,65.0,7,23,4,2,1,1.72,3,0,0,0,0,0,0,0,0,0,0,0
